,Title,Season,episode_length,episodes_watched,num_episodes,perc_watched,finished
212,The Last Kingdom, Season 1,60,8,2,4,1
213,The Last Kingdom, Season 2,60,5,2,2.5,1
115,Outer Banks, Season 1,50,10,6,1.666666667,1
139,Rhythm + Flow, Season 1,,9,6,1.5,1
77,Kingdom, Season 2,43,6,4,1.5,1
73,Kim's Convenience, Season 1,22,13,9,1.444444444,1
75,Kim's Convenience, Season 3,22,13,9,1.444444444,1
74,Kim's Convenience, Season 2,22,13,9,1.444444444,1
2,American Crime Story, Season 1,42,12,9,1.333333333,1
120,Parks and Recreation, Season 2,22,23,18,1.277777778,1
137,Queer Eye, Season 5,45,10,8,1.25,1
146,Scandal, Season 2,43,22,18,1.222222222,1
148,Scandal, Season 4,43,22,18,1.222222222,1
193,The Flash, Season 4,43,23,19,1.210526316,1
189,The Circle (2020), Season 1,48,6,5,1.2,1
123,Parks and Recreation, Season 5,22,21,18,1.166666667,1
112,On My Block, Season 2,30,10,9,1.111111111,1
111,On My Block, Season 1,30,10,9,1.111111111,1
124,Parks and Recreation, Season 6,22,20,18,1.111111111,1
122,Parks and Recreation, Season 4,22,20,18,1.111111111,1
67,Jane The Virgin, Season 2,60,22,20,1.1,1
65,Insatiable, Season 1,45,12,11,1.090909091,1
196,The Good Place, Season 1,22,13,12,1.083333333,1
155,Schitt's Creek, Season 5,22,14,13,1.076923077,1
50,Gossip Girl, Season 3,42,21,20,1.05,1
51,Gossip Girl, Season 4,42,21,20,1.05,1
59,How to Get Away With Murder, Season 5,43,15,15,1,1
195,The Fosters, Season 5,60,21,21,1,1
16,Cheer, Season 1,58,6,6,1,1
5,American Vandal, Season 2,34,8,8,1,1
3,American Crime Story,Season 2,42,9,9,1,1
158,Selling Sunset, Season 3,30,8,8,1,1
240,When They See Us, Limited Series,74,4,4,1,1
209,The Inbetweeners, Season 2,25,6,6,1,1
219,The Umbrella Academy, Season 2,60,10,10,1,1
208,The Inbetweeners, Season 1,25,6,6,1,1
