,Title,Season,episode_length,episodes_watched,num_episodes,perc_watched,finished
212,The Last Kingdom, Season 1,60.0,8,2.0,4.0,1
213,The Last Kingdom, Season 2,60.0,5,2.0,2.5,1
115,Outer Banks, Season 1,50.0,10,6.0,1.6666666666666667,1
77,Kingdom, Season 2,43.0,6,4.0,1.5,1
139,Rhythm + Flow, Season 1,,9,6.0,1.5,1
73,Kim's Convenience, Season 1,22.0,13,9.0,1.4444444444444444,1
74,Kim's Convenience, Season 2,22.0,13,9.0,1.4444444444444444,1
75,Kim's Convenience, Season 3,22.0,13,9.0,1.4444444444444444,1
2,American Crime Story, Season 1,42.0,12,9.0,1.3333333333333333,1
120,Parks and Recreation, Season 2,22.0,23,18.0,1.2777777777777777,1
137,Queer Eye, Season 5,45.0,10,8.0,1.25,1
146,Scandal, Season 2,43.0,22,18.0,1.2222222222222223,1
148,Scandal, Season 4,43.0,22,18.0,1.2222222222222223,1
193,The Flash, Season 4,43.0,23,19.0,1.2105263157894737,1
189,The Circle (2020), Season 1,48.0,6,5.0,1.2,1
123,Parks and Recreation, Season 5,22.0,21,18.0,1.1666666666666667,1
122,Parks and Recreation, Season 4,22.0,20,18.0,1.1111111111111112,1
112,On My Block, Season 2,30.0,10,9.0,1.1111111111111112,1
111,On My Block, Season 1,30.0,10,9.0,1.1111111111111112,1
124,Parks and Recreation, Season 6,22.0,20,18.0,1.1111111111111112,1
67,Jane The Virgin, Season 2,60.0,22,20.0,1.1,1
65,Insatiable, Season 1,45.0,12,11.0,1.0909090909090908,1
196,The Good Place, Season 1,22.0,13,12.0,1.0833333333333333,1
155,Schitt's Creek, Season 5,22.0,14,13.0,1.0769230769230769,1
50,Gossip Girl, Season 3,42.0,21,20.0,1.05,1
51,Gossip Girl, Season 4,42.0,21,20.0,1.05,1
235,Unbreakable Kimmy Schmidt, Season 2,30.0,13,13.0,1.0,1
233,Unbelievable, Limited Series,48.0,8,8.0,1.0,1
94,Million Pound Menu, Season 1,60.0,6,6.0,1.0,1
105,Narcos, Season 1,49.0,10,10.0,1.0,1
106,Narcos, Season 2,49.0,10,10.0,1.0,1
107,Narcos, Season 3,49.0,10,10.0,1.0,1
236,Unbreakable Kimmy Schmidt, Season 3,30.0,13,13.0,1.0,1
239,Waco, Limited Series,48.666666666666664,6,6.0,1.0,1
231,Ugly Delicious, Season 1,50.0,8,8.0,1.0,1
60,How to Get Away With Murder, Season 6,43.0,15,15.0,1.0,1
214,The Pharmacist, Limited Series,53.75,4,4.0,1.0,1
136,Queer Eye, Season 4,45.0,8,8.0,1.0,1
134,Queer Eye, Season 2,45.0,8,8.0,1.0,1
135,Queer Eye, Season 3,45.0,8,8.0,1.0,1
208,The Inbetweeners, Season 1,25.0,6,6.0,1.0,1
195,The Fosters, Season 5,60.0,21,21.0,1.0,1
192,The Final Table, Season 1,60.0,10,10.0,1.0,1
158,Selling Sunset, Season 3,30.0,8,8.0,1.0,1
157,Selling Sunset, Season 2,30.0,8,8.0,1.0,1
156,Selling Sunset, Season 1,30.0,8,8.0,1.0,1
154,Schitt's Creek, Season 4,22.0,13,13.0,1.0,1
153,Schitt's Creek, Season 3,22.0,13,13.0,1.0,1
152,Schitt's Creek, Season 2,22.0,13,13.0,1.0,1
151,Schitt's Creek, Season 1,22.0,13,13.0,1.0,1
